acousticness;danceability;duration_ms;energy;explicit;liveness;loudness;mode;popularity;tempo;valence;year
0.0275;0.684;195373;0.603;0;0.191;-8.127;0;80;81;0.504;2010
0.28;0.321;214333;0.64;0;0.718;-10.023;1;83;146.172;0.414;2010
0.0151;0.637;220733;0.843;0;0.0876;-5.413;1;80;109.012;0.434;2010
0.0135;0.794;195873;0.766;1;0.0785;-3.894;0;76;127.007;0.55;2010
0.0455;0.247;198213;0.438;1;0.111;-8.479;1;78;185.716;0.39;2010
0.185;0.673;216773;0.886;0;0.0826;-4.44;0;82;97.012;0.795;2010
0.512;0.523;217867;0.606;0;0.106;-4.754;0;77;145.837;0.065;2010
0.0991;0.755;199693;0.837;0;0.289;-2.718;0;81;120.028;0.714;2010
0.241;0.749;263373;0.925;1;0.52;-5.034;1;81;86.989;0.641;2010
0.271;0.723;200013;0.86;1;0.598;-4.357;1;77;126.979;0.667;2010
0.0161;0.542;292093;0.914;1;0.744;-4.747;0;78;153.993;0.576;2010
0.744;0.685;202547;0.391;0;0.142;-7.183;1;77;87.101;0.443;2010
0.0048;0.7;202960;0.709;1;0.0289;-5.006;1;76;122.019;0.625;2010
0.0338;0.663;220800;0.861;0;0.082;-3.398;0;78;119.963;0.654;2010
0.0401;0.728;214240;0.859;0;0.111;-5.237;0;78;65.043;0.535;2010
0.529;0.855;248133;0.954;1;0.205;-1.19;0;78;114.635;0.668;2010
0.0000151;0.689;233867;0.739;0;0.064;-5.81;1;76;120.423;0.578;2010
0.131;0.312;242496;0.418;0;0.0836;-9.146;1;78;130.795;0.237;2010
0.00627;0.766;202627;0.873;0;0.0764;-6.381;0;77;126.988;0.743;2010
0.00847;0.56;218013;0.936;0;0.161;-5.835;1;81;112.96;0.371;2011
0.498;0.657;182947;0.56;0;0.0794;-9.049;0;84;161.993;0.854;2011
0.145;0.733;239600;0.71;0;0.0956;-5.849;0;84;127.975;0.965;2011
0.0531;0.831;235320;0.427;1;0.307;-6.903;1;79;93.004;0.216;2011
0.0319;0.646;210960;0.795;0;0.267;-3.293;1;80;89.99;0.796;2011
0.309;0.421;285120;0.407;0;0.11;-7.445;1;80;139.028;0.161;2011
0.127;0.789;219333;0.858;1;0.349;-5.542;1;79;140.022;0.775;2011
0.893;0.556;285240;0.319;0;0.0996;-8.251;1;76;135.187;0.294;2011
0.192;0.671;252307;0.939;0;0.298;-3.206;1;79;129.023;0.529;2011
0.0525;0.715;207333;0.655;1;0.115;-6.425;1;77;95.078;0.531;2011
0.0509;0.449;278719;0.585;0;0.0833;-6.761;1;79;139.631;0.212;2011
0.0761;0.858;188453;0.678;0;0.0741;-3.87;0;77;117.009;0.922;2011
0.669;0.642;258373;0.289;0;0.18;-9.918;1;76;84.996;0.407;2011
0.908;0.339;206640;0.214;0;0.341;-11.714;1;85;94.775;0.363;2012
0.0703;0.716;386907;0.531;1;0.224;-7.355;1;76;71.994;0.344;2012
0.0384;0.72;175427;0.791;0;0.157;-4.689;1;80;102.071;0.756;2012
0.00301;0.471;177280;0.924;0;0.313;-3.906;1;80;154.961;0.725;2012
0.932;0.612;213827;0.28;0;0.088;-8.648;1;83;72.795;0.387;2012
0.865;0.647;119787;0.465;0;0.0882;-8.308;1;80;151.251;0.699;2012
0.0291;0.641;258343;0.922;0;0.0862;-4.457;1;82;146.078;0.847;2012
0.009;0.726;199987;0.787;0;0.0596;-2.494;1;82;124.99;0.888;2012
0.000972;0.707;206413;0.924;0;0.204;-2.842;1;80;127.937;0.919;2012
0.049;0.726;233478;0.698;0;0.309;-4.165;1;81;143.994;0.867;2012
0.0295;0.581;204160;0.963;0;0.139;-4.087;1;79;129.992;0.788;2012
0.346;0.778;242733;0.547;0;0.132;-7.273;1;81;95.002;0.441;2012
0.0206;0.457;266600;0.757;0;0.146;-5.177;1;78;102.961;0.417;2012
0.0277;0.303;192960;0.9;0;0.11;-2.352;0;76;149.508;0.491;2012
0.00498;0.711;211920;0.7;0;0.215;-4.805;0;76;128.001;0.801;2012
0.126;0.514;200400;0.727;0;0.0978;-6.131;1;78;147.917;0.37;2012
0.0991;0.608;232947;0.86;0;0.262;-5.324;0;76;127.075;0.437;2012
0.811;0.709;219040;0.22;0;0.175;-11.856;1;78;110.076;0.53;2012
0.135;0.482;224920;0.706;0;0.105;-5.762;1;76;92.494;0.144;2012
0.0412;0.874;178560;0.692;1;0.324;-5.28;0;76;116.017;0.937;2012
0.0208;0.747;224653;0.937;0;0.29;-5.746;1;77;103.976;0.739;2012
0.112;0.612;212862;0.84;0;0.116;-3.145;0;77;129.042;0.438;2012
0.0495;0.612;240400;0.807;0;0.101;-2.81;1;89;124.053;0.398;2013
0.00128;0.509;229640;0.812;0;0.214;-5.439;1;77;159.878;0.689;2013
0.0483;0.691;161124;0.631;0;0.104;-6.478;1;86;92.004;0.8;2013
0.186;0.548;272394;0.532;0;0.217;-7.596;1;85;85.03;0.405;2013
0.922;0.422;269560;0.264;0;0.132;-7.064;1;85;119.93;0.331;2013
0.172;0.209;305747;0.412;0;0.0843;-9.733;1;82;86.26;0.162;2013
0.455;0.537;298373;0.66;0;0.135;-7.174;1;76;148.096;0.574;2013
0.00272;0.235;227296;0.86;0;0.388;-2.842;0;76;127.788;0.342;2013
0.136;0.464;183956;0.417;0;0.0974;-9.345;0;81;67.528;0.479;2013
0.0038;0.532;247427;0.783;0;0.161;-5.697;1;84;124.08;0.643;2013
0.534;0.511;258969;0.472;0;0.11;-9.277;1;76;127.978;0.0399;2013
0.113;0.472;234215;0.448;1;0.0914;-7.272;0;76;166.077;0.636;2013
0.234;0.574;484147;0.512;0;0.0946;-6.664;0;82;76.899;0.512;2013
0.225;0.6;245493;0.663;0;0.119;-5.802;1;82;121.07;0.286;2013
0.145;0.367;229147;0.665;1;0.113;-2.821;1;76;148.913;0.31;2013
0.0098;0.602;216013;0.923;0;0.0561;-3.763;1;76;136.01;0.765;2013
0.262;0.324;236053;0.416;0;0.11;-8.92;0;78;113.986;0.151;2013
0.0239;0.853;233787;0.693;1;0.11;-6.87;1;76;95.967;0.662;2013
0.0501;0.748;170933;0.778;0;0.284;-5.752;1;76;95.989;0.777;2013
0.000176;0.655;192790;0.819;0;0.104;-4.852;1;79;117.956;0.766;2013
0.00882;0.613;231240;0.622;0;0.37;-5.794;0;78;80.003;0.484;2013
0.00616;0.288;201726;0.758;0;0.303;-5.692;0;80;97.094;0.619;2013
0.397;0.708;363521;0.843;1;0.799;-2.66;1;76;148.14;0.625;2013
0.22;0.574;237933;0.329;0;0.0986;-6.829;1;78;130.993;0.356;2013
0.0738;0.504;210840;0.785;0;0.239;-4.802;1;76;173.968;0.502;2013
0.0227;0.652;200107;0.877;0;0.0789;-2.986;1;76;118.491;0.486;2013
0.407;0.53;221360;0.422;0;0.107;-6.262;1;76;119.964;0.349;2013
0.141;0.376;209440;0.696;0;0.11;-4.785;0;78;169.515;0.303;2013
0.0426;0.794;248413;0.811;0;0.101;-8.966;0;77;116.047;0.862;2013
0.0309;0.545;255093;0.78;0;0.0828;-4.867;0;76;125.014;0.458;2013
0.0489;0.525;204093;0.621;0;0.294;-7.364;1;88;191.9;0.591;2014
0.301;0.692;292987;0.521;1;0.0565;-8.465;0;84;100.45;0.463;2014
0.431;0.484;204280;0.731;0;0.151;-6.694;1;77;101.654;0.51;2014
0.0751;0.517;239320;0.705;1;0.128;-8.205;0;79;175.906;0.584;2014
0.859;0.672;226600;0.52;0;0.115;-7.747;1;82;120.001;0.37;2014
0.22;0.805;242983;0.33;1;0.105;-8.712;0;79;121.97;0.211;2014
0.0317;0.699;206167;0.529;0;0.285;-7.548;1;82;119.987;0.121;2014
0.00701;0.578;199080;0.866;0;0.257;-3.804;1;80;128.038;0.619;2014
0.588;0.418;172724;0.42;0;0.11;-6.444;1;81;84.094;0.184;2014
0.22;0.681;248360;0.582;0;0.119;-7.76;0;80;124.038;0.221;2014
0.0591;0.673;194240;0.902;0;0.0558;-2.392;1;78;100.012;0.538;2014
0.746;0.5;185200;0.292;0;0.188;-8.554;1;78;145.879;0.37;2014
0.0591;0.748;235493;0.788;1;0.0863;-7.055;1;80;120.076;0.884;2014
0.529;0.677;239317;0.485;0;0.0766;-5.795;1;81;82.001;0.493;2014
0.474;0.781;281560;0.445;0;0.184;-6.061;1;83;78.998;0.591;2014
0.647;0.553;166147;0.476;0;0.281;-8.869;1;76;113.401;0.558;2014
0.0921;0.72;229360;0.802;1;0.694;-5.797;1;78;124.043;0.723;2014
0.957;0.438;170964;0.178;0;0.316;-9.402;1;77;75.248;0.344;2014
0.26;0.706;199387;0.786;0;0.38;-3.417;0;78;150.028;0.751;2014
0.874;0.439;287693;0.153;0;0.107;-8.95;1;78;116.76;0.104;2014
0.0495;0.507;238360;0.889;0;0.0983;-2.755;0;77;135.021;0.333;2014
0.607;0.614;258987;0.379;0;0.0986;-10.48;1;83;107.989;0.201;2014
0.0211;0.596;222533;0.856;0;0.141;-3.556;0;79;127.949;0.743;2014
0.0166;0.527;176658;0.835;0;0.249;-5.298;1;82;125.983;0.654;2014
0.219;0.647;232720;0.822;0;0.0908;-4.662;0;79;160.019;0.962;2014
0.0205;0.742;189960;0.713;0;0.059;-5.522;0;77;120.032;0.879;2014
0.857;0.407;229400;0.147;0;0.0913;-8.822;1;76;141.284;0.0765;2014
0.093;0.628;197267;0.593;0;0.096;-5.036;1;78;125.026;0.104;2014
0.00489;0.545;193733;0.783;0;0.132;-4.261;0;76;174.084;0.551;2014
